chart_id,index_raw,source_mode,spot,position,stack,opponent,open,bet,source_hash,source_file,compressed_file,image_width,image_height,original_size_bytes,compressed_size_bytes,original_sha256,compressed_sha256
B2_0800,119,huante,,SB,14BB,Limp_vs_Push,,,0f09140abe59,119__position-SB__stack-14BB__opponent-Limp_vs_Push__huante-0f09140abe59.jpg,charts/0800.webp,434,600,36566,15368,32991f66e5926f15e3ea23b8eec870304aa7b0d08f1ce19daa403b7ba6c4658e,5fbbcaa6cd2c764dffaeed9d2c52cac00b2b14b8425ed686a657bce7bd4c48af
B2_0801,003,huante,,BB,10BB,vs_1L,,,7b5cfed3a565,003__position-BB__stack-10BB__opponent-vs_1L__huante-7b5cfed3a565.jpg,charts/0801.webp,434,600,60192,27510,f2f074333ddd845c52dfe758ebe3ed2b2eae16d21e42a67909595620f9a582f6,3889393e3b371a393bff8032d9caca65d2fae5bbcd00ac1595560940e75cf604
B2_0802,053,huante,,BB,20BB,vs_1R,,,d9a8f3df2928,053__position-BB__stack-20BB__opponent-vs_1R__huante-d9a8f3df2928.jpg,charts/0802.webp,434,600,55418,25450,ac52bcfcc3ba80afe1e3e897f0a64ed8cca0865c7ec8510878da17b875681ff0,7bb0860deab94376153d412091cff03f1e5491fdb133096c1faeed423eea763e
B2_0803,154,huante,,SB,4BB,Limp_vs_Push,,,6ce25abfcb30,154__position-SB__stack-4BB__opponent-Limp_vs_Push__huante-6ce25abfcb30.jpg,charts/0803.webp,434,600,49569,22056,c2be3c3ab59a8010bf710d54f3cebc43c821832a586ca8931dfb19bccc6f0ae6,3f8c4d947789938d494b3aa1b227b7b2926cf63c4244992e0dc0697ee3b8817c
B2_0804,027,huante,,BB,15BB,vs_1R,,,07bf3b652ec7,027__position-BB__stack-15BB__opponent-vs_1R__huante-07bf3b652ec7.jpg,charts/0804.webp,434,600,55236,25012,0bec7492225f58b3a300bae8cc4ae234f03568dba09a1a11c351ad18c06c6192,3d54547bbc228515984260a717ed1b074165abe8e3c5b32b1f9b69a428ffa886
B2_0805,102,huante,,BB,9BB,vs_1L_REAL,,,56eb95ae63b1,102__position-BB__stack-9BB__opponent-vs_1L_REAL__huante-56eb95ae63b1.jpg,charts/0805.webp,434,600,98356,27848,7aac414d6f973d342f4145284c5b4d9aef970884ab8f1ba6e5c8fb52bac831a5,80ebf07d1d65039ce1efc39e1f90d7a9d99bd60d8e4aaab18af4c8bb0ac0a53a
B2_0806,139,huante,,SB,22.5BB,1R_vs_Push,,,cbf3b2834546,139__position-SB__stack-22.5BB__opponent-1R_vs_Push__huante-cbf3b2834546.jpg,charts/0806.webp,434,600,34083,14090,edd21f3055c553685cce6811d179b0d1229025a52540560a4ac25b87874c7f66,6fb8c500132fee9e9f619bb3c3e5578fb7653cd3301346bec7771bdffede8950
B2_0807,100,huante,,BB,8BB,vs_PUSH,,,2190d0f1b571,100__position-BB__stack-8BB__opponent-vs_PUSH__huante-2190d0f1b571.jpg,charts/0807.webp,434,600,41305,17860,a4fec3b40ae52c348679a7e484586dcd022a8f91da7a436af01243f15390bb43,32da149431c2166468863360b8a9f9c658e1d14d4bf0896c6ef7de4621cdf516
B2_0808,104,huante,,BB,9BB,vs_PUSH,,,e4d1b28ed91e,104__position-BB__stack-9BB__opponent-vs_PUSH__huante-e4d1b28ed91e.jpg,charts/0808.webp,434,600,40381,17382,ec78f2a8f484cec86ab5129041d62d9c715ba0d3a14afba0cbd2f4d45ab13ee0,8dbade5f95aaf4727843b5ee02516774eed3887c763e7c23fe0683e809e4c34c
B2_0809,093,huante,,BB,7BB,vs_1L,,,4627084658da,093__position-BB__stack-7BB__opponent-vs_1L__huante-4627084658da.jpg,charts/0809.webp,434,600,60036,27534,2a54182e3c2bc8f4ffb5b8588d1766ff22d0d14bdb55c1582981e4e90392f95b,3818bc048d8dc5450cd17fe8ac51cbfb3c98ec4a3919679abf398b570805e6f6
B2_0810,095,huante,,BB,7BB,vs_1R_REAL,,,51b815a9019f,095__position-BB__stack-7BB__opponent-vs_1R_REAL__huante-51b815a9019f.jpg,charts/0810.webp,434,600,56702,25572,eea5e86740fe3b72b90ceb312814361c374e5d41a7c83c2d868a2d7f6986a011,5876a06fbbd62b6e899ee10ce1ddfcad48e6aeca8371f64207d2124f7556f674
B2_0811,026,huante,,BB,15BB,vs_1L_REAL,,,1f4a36ea025d,026__position-BB__stack-15BB__opponent-vs_1L_REAL__huante-1f4a36ea025d.jpg,charts/0811.webp,434,600,59850,27472,63334d1ecd200fd44384994a4c7011048625b23d375105c958b1f9d38c82d516,0edbf79aff8a546d0c1f9a48517e81f39aef48d8facc8f4c88fa96b28dbb5550
B2_0812,171,huante,,SB,9BB,Limp_vs_Push,,,ae87253e26ae,171__position-SB__stack-9BB__opponent-Limp_vs_Push__huante-ae87253e26ae.jpg,charts/0812.webp,434,600,40552,17518,e12a2c4a946ab17d08e6e40ac0bc1eb01855ba9e33468b91a64cb8a53d5c626a,44be80e2531a5fe935a700d562d7aee6f91b497ee1cfe65a1a64790503f46abe
B2_0813,168,huante,,SB,8BB,Limp_vs_Push,,,241150a689c1,168__position-SB__stack-8BB__opponent-Limp_vs_Push__huante-241150a689c1.jpg,charts/0813.webp,434,600,42558,18326,f185b148891b568cf8c4b2329dc6b17460edad0421f5954cfa1c644070ce0ae4,39e4981243ec26b4ec2d9f5ae74a9f19c01cef57dad6755aa834e2df98e2fe36
B2_0814,106,huante,,SB,10BB,1R_vs_Push,,,f2e75271e41a,106__position-SB__stack-10BB__opponent-1R_vs_Push__huante-f2e75271e41a.jpg,charts/0814.webp,434,600,41090,17498,111988d3f19d7eaf9451d55c9bf5be9a0b5a770a33766b8a1764cee9082b3d82,50f5a08aa90e9d52bccbe8d2f2203d3365921236bcb14b79eda49136b820b687
B2_0815,084,huante,,BB,56-70BB,vs_4BP_REAL,,,67492d6f0310,084__position-BB__stack-56-70BB__opponent-vs_4BP_REAL__huante-67492d6f0310.jpg,charts/0815.webp,434,600,34164,14204,45f22a9ca8bae44909842d4ffd873b4e6cb34b22504ba004f5d6c43450b51cc8,c4905bea716af779277953ef9cb34dcf53cfbbba4e4316cfc4d971cb27fe7195
B2_0816,127,huante,,SB,17BB,1R_vs_Push,,,3885d23c8b70,127__position-SB__stack-17BB__opponent-1R_vs_Push__huante-3885d23c8b70.jpg,charts/0816.webp,434,600,35186,14666,151ffbf4c615c4511dc88781b7db64be8589cb5157d0eccde8e474330f2631c9,1387c27fc0947685f02c1f53ce2ff20db77ed45f2da9458048254f4bb6af5263
